wire_method	wire_field_name	exposure
accounts.findByHandle	handle	wire
accounts.link	credential	external
accounts.link	provider	external
accounts.login	email	external
accounts.login	password	external
accounts.loginFederated	credential	external
accounts.loginFederated	provider	external
accounts.playersById	ids	wire
accounts.refresh	refresh_token	external
accounts.register	displayName	external
accounts.register	email	external
accounts.register	password	external
accounts.verifySession	token	wire
admin.adminData	params.<key>	wire
admin.adminData	params.<value>	wire
admin.adminSubmit	id	wire
admin.adminSubmit	params.<key>	wire
admin.adminSubmit	params.<value>	wire
apikeys.lookupKey	key	wire
characters.create	class	external
characters.create	name	external
characters.delete	character_id	external
characters.ownerOf	character_id	wire
friends.accept	edge_id	external
friends.decline	edge_id	external
friends.list	cursor	external
friends.pending	cursor	external
friends.remove	edge_id	external
friends.request	target_handle	external
inventory.grant	item_id	external
inventory.listCharacter	character_id	external
match.report	Loser	external
match.report	ReportId	external
match.report	Winner	external
notifications.delete	notification_id	external
notifications.list	cursor	external
notifications.markRead	notification_id	external
rating.mmr	player_id	wire
wallet.balances	player_id	wire
wallet.credit	movement.currency	wire
wallet.credit	movement.idempotency_key	wire
wallet.credit	movement.player_id	wire
wallet.credit	movement.reason	wire
wallet.debit	movement.currency	wire
wallet.debit	movement.idempotency_key	wire
wallet.debit	movement.player_id	wire
wallet.debit	movement.reason	wire
